none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
submitBtn1,Throw in gems,,,投入宝石,,,,,,Jogue joias,Apuesta con gemas
ProgressBarManager1,"Loading ",,,努力加载中,,,,,,"Carregando ","Cargando "
ProgressBarManager2,"Loading completed, open now",,,"加载完成，马上开启",,,,,,"Carregamento concluído, aberto agora","Carga completada, abrir ahora"
GameManager1,"token error",,,"token错误",,,,,,"Erro de token","Error de token"
GameManager2,"Waiting for the next period",,,"等待下一期",,,,,,"Aguardando a próxima edição","Esperando el próximo número"
GameManager3,"Amount error",,,"金额错误",,,,,,"Erro de valor","Cantidad incorrecta"
GameManager4,"No room selected",,,"没有选中房间",,,,,,"Nenhuma sala selecionada","No se ha seleccionado ninguna habitación"
BalanceManager1,"Current account remaining ",,,"当前账户剩余",,,,,,"Meu Saldo ","Mi saldo "
CountDown1,"The killer appears after %ds",,,"%ds后杀手出现",,,,,,"O assassino aparece após %d segundos","El asesino aparecerá en %d segundos"
GameResultManager1,"Invest %d gems in this period and get %d",,,"本期投入宝石%d，获得%d",,,,,,"Consuma joias nesta ronda %d，obter joias %d","En esta ronda del juego, inviertes %d gemas y obtienes %d"
GameResultManager2,"The killer killed the person hiding in「%s」",,,"杀手杀死了躲在「%s」的人",,,,,,"O assassino matou a pessoa escondida em「%s」","El asesino mató a la persona que se escondía en「%s」"
rulePrefab1,"Gameplay",,,"玩法",,,,,,regra,regla
rulePrefab2,"Players choose a room to hide from the killer. When the number of players is met, the killer randomly selects a room to kill all the people in it. The survivors in other rooms will get an average of the gold in the room where the players were killed.",,,"玩家选择一间房间躲避杀手，满足人数后，杀手随机挑选个房间杀掉里面所有的人，其他房间的幸存者平均获得被杀掉房间的元宝。",,,,,,"Quando o número de jogadores chega a 100, o jogo começa. O jogador escolhe uma sala para se esconder do assassino, que escolhe uma sala aleatoriamente e mata todos que estão nela. Os sobreviventes em outras salas dividem as joias na sala do assassino de acordo com a proporção de suas apostas.","Cuando el número de jugadores llega a 100, el juego comienza. El jugador elige una habitación para esconderse del asesino, quien elige una habitación al azar y mata a todos los que están en ella. Los supervivientes de otras salas dividen las gemas en la habitación del asesino según la proporción de sus apuestas."
