场次ID	游戏名备注	游戏ID	场景名称	Bundle名字	房间类型（100单机版,0：房卡场，1：匹配场，2：百人场）	是否体验场	显示名字	帮助说明	Platform	玩法类型名称(多语言)	是否有加载页	
RoomMode	GameName	GID	SceneName	BundleName	RoomType	Practice	ShowName	Help	Platform	PlayTypeName	UILoading
25	Points Rummy	210	game_210	Game210	0	0	Rummy	null	0	UI_RoomList_Match	0   
1300	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1301	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1302	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1303	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1304	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1305	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1306	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1307	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
1308	slot777	470	game_FruitSlots	777slot	100	0	null	UIGameHelp	0	null	0
114010001	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0 
114010002	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010003	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010004	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010005	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010006	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010007	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
114010008	777slot2	1140	game_FruitSlots2	777_slot2	100	0	null	UIGameSlot2Help	0	null	0
1310	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1311	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1312	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1313	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1314	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1315	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1316	世界杯	480	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1320	足球	820	game_shijiebei	shijiebei	100	0	null	UIGameHelp	0	null	0
1400	幸运轮盘	520	game_LuckyRoller	LuckyRoller	100	0	null	UIGameHelp	0	null	1
1100	水浒传1倍场	70	game_shz	shuihuzhuan	100	0	null	null	0	null	0
1101	水浒传10倍场	70	game_shz	shuihuzhuan	100	0	null	null	0	null	0
1102	水浒传100倍场	70	game_shz	shuihuzhuan	100	0	null	null	0	null	0
15000	扫雷	550	game_Mines	MINES	100	0	null	UIGameHelp	0	null	0
16000	疯狂扫雷	620	game_620	Game620	100	0	null	UIGame620_help	0	null	1
100000	百家乐	430	game_Baccarat	Baccarat	2	0	null	null	0	null	0
110000	骰宝	420	game_Sicbo	toubao	2	0	null	game_Sicbo_help	0	null	0
120000	奔驰宝马	60	game_car	car	2	0	null	game60Help	2	null	0
130000	百人龙虎	40	game_DragonTiger	DragonTiger	2	0	null	null	0	null	0
140000	红黑大战	50	game50Form	honghei	2	0	null	game50Help	0	null	0
150000	轮盘	450	game_LunPan	lunpan	2	0	null	GameLunPan_Help	0	null	0
280000	爆点	490	game_Crash	baodian	2	0	null	UIGameHelp	0	null	0
281000	爆点游戏体验场	490	game_Crash	baodian	2	1	null	UIGameHelp	0	null	0
282000	爆点2	1120	game_Crash2	crash2	2	0	null	crash2_help	0	null	0
290000	AndarBahar	540	game_AB	ABgame	2	0	null	null	0	null	0
295000	ABClassic	580	game_ABjingdian	ABjingdian	2	0	null	null	0	null	0
300000	Double游戏	530	game_Double	Roulette	2	0	null	null	0	null	1
661	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
662	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
663	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
664	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
665	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
666	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
667	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
668	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
669	Texas	30	game_30	Game30	1	0	Texas	null	0	null	0
671	Omaha	910	game_910	Game910	1	0	Texas	null	0	null	0
672	Omaha	910	game_910	Game910	1	0	Texas	null	0	null	0
673	Omaha	910	game_910	Game910	1	0	Texas	null	0	null	0
674	Omaha	910	game_910	Game910	1	0	Texas	null	0	null	0
681	6+ Short card	900	game_900	Game900	1	0	Texas	null	0	null	0
682	6+ Short card	900	game_900	Game900	1	0	Texas	null	0	null	0
683	6+ Short card	900	game_900	Game900	1	0	Texas	null	0	null	0
684	6+ Short card	900	game_900	Game900	1	0	Texas	null	0	null	0
2400	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2401	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2402	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2403	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2404	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2405	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2406	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2407	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2408	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2409	RoyalTeenPatti	240	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2410	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2411	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2412	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2413	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2414	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2415	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2416	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2417	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2418	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2419	RoyalTeenPatti	390	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2450	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2451	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2452	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2453	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2454	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2455	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2456	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2457	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2458	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2459	TeenPatti	190	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Match	0
2460	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2461	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2462	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2463	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2464	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2465	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2466	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2467	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2468	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2469	TeenPatti	370	game_TP	zhajinhua	1	0	TeenPatti	null	0	UI_RoomList_Single	0
2520	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
2521	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
2522	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
2523	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
2524	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
2525	2 Persons	230	game_210	Game210	1	0	Rummy	null	0	UI_RoomList_Match	0
