none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
General.General_1,Okay,,,,,,,,,Ok,
General.General_2,Cancel,,,,,,,,,Cancelar,
General.General_3,Yes,,,,,,,,,Sim,
General.General_4,No,,,,,,,,,Não,
UI.Charge_1_info_1,Recharge information,,,,,,,,,Recarregar informação,
UI.Charge_1_info_5,Input Phone Number,,,,,,,,,Número de telefone,
UI.Charge_1_info_7,Input Email Address,,,,,,,,,Inserir Email,
UI.Charge_1_info_8,UPI ID,,,,,,,,,UPI ID,
UI.Charge_1_info_9,Input UPI ID,,,,,,,,,UPI ID(Opcional),
UI.Charge_1_info_10,Purchase terms,,,,,,,,,Condições compra,
UI.Charge_2_upi_2,Pay,,,,,,,,,Pagar,
UI.Charge_conditions2,"1.  You shall confirm: you shall, before starting to use the Service, fully read, understand and accept the whole content of this agreement, for once you choose “agree” to complete the registration, start the procedure or use the Service, you agree to abide by all the clauses hereof.
2.  You shall agree: the Company shall have the right to make unilateral amendments to this agreement as well as relative service regulations, service content, product instructions, product functions and other aspects thereof at any time, and publish such amendments by means of one or more of sending information, website notice, group sending SMS or other methods, with no need to inform you thereof individually; such amendments or adjustments shall not be considered as the Company’s violation of the clauses hereof. If you continue to use the Service after such amendments of the content hereof being published, you shall be considered as having fully read, understood and accepted the amended content hereof and will use the Service in accordance therewith. If you don’t agree the amended content hereof, you shall stop using the Service immediately.
3.  When you complete the account registration or activation process, you shall, in accordance with the requirements of the laws and regulations, follow the instructions of relevant websites to provide and timely update your information, which shall be real, timely, complete and accurate. If the Company has reasonable reasons to question your information to be false, unreal, outdated or incomplete, the Company shall have the right to send to you a notice of inquiry and/or correction requirement and shall have the right to directly delete relevant information, suspend the registration, suspend the account and even stop or cease to provide part of or all services to you. The Company shall take no responsibility for the service suspension, discontinuation or termination caused thereby and you shall bear any consequence caused thereby.
4.  You shall correctly provide and timely update such contact information as email, telephone number, address and postal code, in order for the Company to make effective contact with you. If the Company can’t contact through such contact information, you shall be fully responsible for any losses or any added fees caused in the process of you using the Service. You shall understand and agree that you shall have the obligation to make sure the validity of your contact information provided and make updates in accordance with the requirements of the Company in necessary.",,,,,,,,,"1. Você deve confirmar: antes de começar a usar o Serviço, você deve ler, entender e aceitar o conteúdo inteiro deste acordo, uma vez que você escolher concordar para completar o registro, iniciar o procedimento ou usar o Serviço, você concordar em respeitar todas as cláusulas deste acordo.
2. Você deve concordar: a Companhia terá o direito de fazer alterações unilaterais a este acordo, bem como regulamentos relativos de serviço, conteúdo de serviço, instruções de produto, funções de produto e outros aspectos deles em qualquer momento, e publicar essas alterações através de uma ou mais informações de envio, aviso de sítio web, grupo de envio de SMS o r outros métodos, sem necessidade de lhe informar individualmente; tais alterações ou ajustes não serão considerados como a violação da Companhia das cláusulas destas. Se você continuar a utilizar o Serviço após tais alterações do conteúdo desta publicação, você será considerado ter leito, entendido e aceito completamente a alteração d conteúdo aqui e usará o Serviço de acordo com isso. Se você não concordar com o conteúdo alterado aqui, você deve parar de usar o Serviço imediatamente.
3. Quando você completar o processo de registro ou ativação da conta, você deve, de acordo com os requisitos das leis e regulamentos, seguir as instruções de sites relevantes para fornecer e atualizar em tempo oportuno sua informação, que será real, oportuno, completa e precisa. Se a Companhia tem razões razoáveis para questionar sua informação a Companhia terá o direito de lhe enviar um aviso de inquérito e/ou requisito de correção e terá o direito de suprimir diretamente as informações relevantes, suspender o registro, suspender a conta e até parar ou deixar de fornecer parte ou todos os serviços a você. e nenhuma responsabilidade pela suspensão, interrupção ou terminação do serviço causada por isso e você terá qualquer consequência causada por isso.
4. Você deve fornecer corretamente e atualizar em tempo oportuno informações de contato como correio electrónico, número de telefone, endereço e código postal, para que a Companhia faça contato eficaz com você. Se a Companhia não pode contatar através dessa informação de contato, você será plenamente responsável por quaisquer perdas ou quaisquer taxas adicionadas causadas no processo de sua utilização o Serviço. Você entenderá e concordará que terá a obrigação de assegurar a validade de sua informação de contato fornecida e fazer actualizações em conformidade com os requisitos da Companhia, quando necessário.",
UI.Charge_conditions3,"5.	You shall enjoy the right of using your account provided by the company only; you shall be responsible for your Internet Platform account and only you yourself can use your account; if you transfer, bestow or authorize the right of using your account to other people, the Company shall be notified in written form and the successor shall obtain the legal right to use the said account until the Company agrees therewith and the said successor signs this agreement; otherwise, The company shall have the right to suspend or terminate all services provided to you without bearing any responsibilities at any time.
6.	Since the Company will recognize your instruction through your username and password, therefore you shall take good care of your username and password and any loss or consequence caused by the exposure of the password shall be undertaken by you yourself only. You shall warrant not to reveal your account and password to anyone, and not to use anyone else’s Internet Platform account and password.
7.	If you find any situation where other people have stolen or illegally used your account and password or any other illegal authorization, you shall notify the Company immediately and effectively and request the Company to suspend relevant services. At the same time, you shall understand there will be a reasonable period before any action taken in accordance with your request, and therefore the Company shall not be responsible for any loss caused by any implemented instructions before that period.
8.	This agreement shall be composed of the clauses hereof and all regulations published on the Website. Related nouns can be quoted and referred to mutually. If there is any different understanding, the clauses hereof shall prevail.",,,,,,,,,"5. Você gozará do direito de utilizar sua conta fornecida apenas pela empresa; você será responsável pela sua conta da Plataforma Internet e só você pode utilizar sua conta; se você transferir, conceder ou autorizar o direito de utilizar sua conta a outras pessoas, a empresa será notificada em forma escrita e o sucessor obter o direito jurídico de utilizar a referida conta at é que a Companhia concorde com ela e o referido sucessor assine este acordo; caso contrário, a companhia terá o direito de suspender ou terminar todos os serviços fornecidos a você sem assumir qualquer responsabilidade em qualquer momento.
6. Uma vez que a Companhia reconhecerá sua instrução através do seu nome de usuário e senha, então você deve cuidar bem do seu nome de usuário e senha e qualquer perda ou consequência causada pela exposição da senha será realizada por você mesmo. Você deve garantir não revelar sua conta e senha a ninguém, e não usar uma a conta e a senha da Plataforma Internet de outra parte.
7. Se você encontrar qualquer situação em que outras pessoas tenham roubado ou utilizado ilegalmente sua conta e senha ou qualquer outra autorização ilegal, você deve notificar imediatamente e efetivamente a Companhia e pedir à Companhia que suspenda os serviços relevantes. n de acordo com seu pedido, e portanto a Companhia n ão será responsável por nenhuma perda causada por nenhuma instrução implementada antes desse período.
8. Este acordo deve ser composto pelas cláusulas do presente acordo e todas as regras publicadas no site web. Nomes relacionados podem ser citados e referidos mutuamente. Se houver algum entendimento diferente, as cláusulas desta cláusula prevalecerão.",
UI.Charge_conditions4,Refund Policy,,,,,,,,,Política reembolso,
UI.Charge_conditions5,"1.	If you uninstall an app soon after your first purchase, the system may automatically refund you. If you want to reinstall the app, you will have to buy it again and may not be able to apply for a refund.
2.	If you disclose your account details or payment details to others, you are suspected of abusing our policy, or you do not use authentication to protect your account, we will not normally be able to issue a refund.",,,,,,,,,"1. Se você desinstalar um aplicativo logo após sua primeira compra, o sistema pode automaticamente devolver-lhe. Se você quer reinstalar o aplicativo, você terá que comprá-lo de novo e pode não ser capaz de pedir uma restituição.
2. Se você divulga seus detalhes de conta ou detalhes de pagamento a outros, você é suspeito de abusar de nossa política, ou você não usa autenticação para proteger sua conta, normalmente não seremos capazes de emitir uma restituição.",
UI.Charge_conditions6,"3.	If you do not receive a refund in time, please check the status of the refund in your account. If the status is ""refunded"", the corresponding balance will be shown in your payment method. If the status is ""cancelled"", we have never charged for this order, so your payment method will not show the corresponding balance.
4.	You will be refunded according to the payment method you used in the initial purchase. Refund processing time may vary depending on the payment method you use.",,,,,,,,,"3. Se você não receber uma restituição em tempo, por favor verifique o estado da restituição na sua conta. Se o status for restituido, o saldo correspondente será mostrado no seu método de pagamento. Se o status for cancelado, nunca cobramos esta ordem, então seu método de pagamento não mostrará o saldo correspondente.
4. Você será reembolsado de acordo com o método de pagamento que utilizou na compra inicial. O tempo de processamento de reembolso pode variar dependendo do método de pagamento que você usa.",
UI.Charge_discount_1,Special Offer,,,,,,,,,Super desconto,
UI.Charge_discount_2,For  ony,,,,,,,,,Apenas uma vez,
UI.Charge_rechargetime_1,Only one chance to get this bonus,,,,,,,,,Apenas uma chance para receber o bonus,
UI.cashout_0_main_1,Withdraw,,,,,,,,,Saque,
UI.cashout_0_main_3,Withdrawable,,,,,,,,,Retirável,
UI.cashout_0_main_5,All,,,,,,,,,Todo,
UI.cashout_0_main_10,Withdraw,,,,,,,,,Retirada,
UI.cashout_1_bank_2,<b><color=#59677C>Bank Number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Número do banco</color><color=#ff0000>*</color></b>,
UI.cashout_1_bank_2_1,Bank Number,,,,,,,,,Número do banco,
UI.cashout_1_bank_3,Input Bank Number,,,,,,,,,Número de conta,
UI.cashout_1_bank_4,User Name,,,,,,,,,Nome de usuário,
UI.cashout_1_bank_4_1,input User Name,,,,,,,,,entrada Nome do Usuario,
UI.cashout_1_bank_5,IFSC Code,,,,,,,,,Código IFSC<color=#ff0000>*</color>,
UI.cashout_1_bank_6,Input IFSC Code,,,,,,,,,Código IFSC(11 caracteres),
UI.cashout_1_bank_7,Bank Name,,,,,,,,,nome do banco,
UI.cashout_1_bank_8,Input Bank Name,,,,,,,,,Nome Banco,
UI.cashout_1_bank_9,Input Branch Bank Name,,,,,,,,,Nome Branch,
UI.cashout_1_bank_10,Phone Number,,,,,,,,,Telefone n.o<color=#ff0000>*</color>,
UI.cashout_1_bank_11,Input Phone Number,,,,,,,,,Número de telefone,
UI.cashout_1_bank_12,Email,,,,,,,,,Email,
UI.cashout_1_bank_13,Input Email Address,,,,,,,,,Email,
UI.cashout_1_bank_14,"Please make sure your Account Number is correct,we do not take any responsibility caused by incorrect input.",,,,,,,,,"Por favor, certifique-se que o número da sua conta esteja correto. Não assumimos a responsabilidade causada pelo seu número errado de conta",
UI.cashout_1_bank_16,Inbox,,,,,,,,,Email,
UI.cashout_1_bank_17,RFC Number,,,,,,,,,RFC Number,
UI.cashout_1_bank_18,CURP Number,,,,,,,,,CURP Number,
UI.cashout_1_bank_19,Debit Number,,,,,,,,,Debit Number,
UI.cashout_1_bank_20,Phone Number,,,,,,,,,Phone Number,
UI.cashout_1_bank_21,Clabe Number,,,,,,,,,Clabe Number,
UI.INVITE_0_main_5,Become your referral: Register successful and play {count} round games,,,,,,,,,"Torne-se seu referenciador: registre-se com sucesso, jogue o jogo {count}",
UI.MakeMoney_0_main_9,My ID,,,,,,,,,Meu ID,
UI.MakeMoney_0_main_11_1,Total commission,,,,,,,,,Comissão total,
UI.MakeMoney_0_main_14,Copy your link and share it with friends.,,,,,,,,,Copie seu link e compartilha com seus amigos.,
UI.MakeMoney_0_main_15,Copy link,,,,,,,,,Copiar,
UI.MakeMoney_0_main_16,One click sharing to social platform,,,,,,,,,Compartilhe na rede social com um click,
UI.MakeMoney_0_main_17,Receive,,,,,,,,,Receber,
UI.MakeMoney_0_main_18,Transfer,,,,,,,,,Transferir,
UI.MakeMoney_0_main_19,New top-up players,,,,,,,,,Novos jogadores de recarga,
UI.MakeMoney_1_MakeGold_1,Level,,,,,,,,,Nivel,
UI.MakeMoney_3_MyCommission_5,Time,,,,,,,,,Hora,
UI.MakeMoney_3_MyCommission_10,Game,,,,,,,,,Jogo,
UI.MakeMoney_3_MyCommission_11,Level 1 commission,,,,,,,,,Comissão de nível 1,
UI.MakeMoney_3_MyCommission_12,Contributors,,,,,,,,,Contribuidores,
UI.MakeMoney_3_MyCommission_13,Commission,,,,,,,,,Comissão,
UI.MakeMoney_3_MyCommission_14,His commission,,,,,,,,,His commission,
UI.MakeMoney_1_Sharetoearn_1,Commission,,,,,,,,,Comissão,
UI.MakeMoney_1_Sharetoearn_2,Referrer ID,,,,,,,,,ID referência,
