none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
General.General_1,Okay,,,,,,,,,Okay,Okay
General.General_2,Cancel,,,,,,,,,Cancelar,Cancelar
General.General_3,Yes,,,,,,,,,Sim,Sí
General.General_4,No,,,,,,,,,Não,No
UI.Charge_1_info_1,Recharge information,,,,,,,,,Recarregar informação,Información de recarga
UI.Charge_1_info_5,Input Phone Number,,,,,,,,,Número de telefone,Ingrese número de teléfono 
UI.Charge_1_info_7,Input Email Address,,,,,,,,,Inserir Email,Ingrese Dirección de correo electrónico
UI.Charge_1_info_8,UPI ID,,,,,,,,,UPI ID,Identificación de UPI
UI.Charge_1_info_9,Input UPI ID,,,,,,,,,UPI ID(Opcional),Ingrese identificación de UPI
UI.Charge_1_info_10,Purchase terms,,,,,,,,,Condições compra,Terminos de compra
UI.Charge_2_upi_2,Pay,,,,,,,,,Pagar,Pagar
