none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI.UIActivityNewbieBonusDeposit2,Deposit CLP$200,,,,,,,,,Deposite CLP$200,Depositar CLP$200
UI.UIActivityNewbieBonus_1,CLP$ 1000,,,,,,,,,CLP$ 1000,CLP$ 1000
UI.UIActivityNewbieBonus_2,CLP$ 2000,,,,,,,,,CLP$ 2000,CLP$ 2000
UI.UIActivityNewbieBonus_3,"Newcomer promotion, get <color=#f9de06> CLP$ 3000</size> free",,,,,,,,,"Promoção para recém-chegados, ganhe <color=#f9de06> CLP$ 3000</size> grátis","Promoción para recién llegados, obtén <color=#f9de06> CLP$ 3000</size> gratis"
UI.UIActivityNewbieBonus_4,CLP,,,,,,,,,CLP,CLP
UI.UIActivityLossRebate5, CLP</c> in the cashback game this week.,,,,,,,,, CLP</c> no jogo de cashback esta semana., CLP</c> en el juego de reembolso de esta semana.
UI.UICashWheel72,"1. You will be able to withdraw money when the accumulated amount reaches CLP$ 50K\n
2. Inviting friends to register on LUCKY JUEGO.COM will help you withdraw money quickly. For each friend who successfully registers, you will get 1 drawing opportunity.\n
4. Each user's activity is valid for 3 days. If no withdrawal is made within 3 days, the funds will be lost.\n
5. The winnings will be added to your wallet and you can play for free and win more real money or withdraw it directly.\n
6. All illegal means of obtaining bonuses will not be recognized, including but not limited to account swiping on the same IP and the same device. We will eliminate the bonuses obtained by said accounts. The final interpretation right of this activity belongs to LUCKY JUEGO. COM",,,,,,,,,"1. Você poderá sacar dinheiro quando o valor acumulado atingir CLP$ 50K\n
2. Convidar amigos para se registrarem no LUCKY JUEGO.COM ajudará você a sacar dinheiro rapidamente. Para cada amigo que se registrar com sucesso, você terá 1 oportunidade de sorteio.\n
4. A atividade de cada usuário é válida por 3 dias. Se nenhum saque for feito dentro de 3 dias, os fundos serão perdidos.\n
5. Os ganhos serão adicionados à sua carteira e você poderá jogar de graça e ganhar mais dinheiro real ou sacá-lo diretamente.\n
6. Todos os meios ilegais de obtenção de bônus não serão reconhecidos, incluindo, mas não limitado a, swiping de conta no mesmo IP e no mesmo dispositivo. Eliminaremos os bônus obtidos por tais contas. O direito de interpretação final desta atividade pertence ao LUCKY JUEGO. COM","1. Podrás retirar dinero cuando el monto acumulado llegue a CLP$ 50K\n
2. Invitar a amigos a registrarse en LUCKY JUEGO.COM te ayudará a retirar dinero rápidamente. Por cada amigo que se registre exitosamente, obtendrás 1 oportunidad de sorteo.\n
4. La actividad de cada usuario es válida por 3 días. Si no se realiza ningún retiro dentro de los 3 días, los fondos se perderán.\n
5. Las ganancias se agregarán a tu billetera y podrás jugar gratis y ganar más dinero real o retirarlo directamente.\n
6. No se reconocerán todos los medios ilegales para obtener bonos, incluidos, entre otros, el deslizamiento de la cuenta en la misma IP y el mismo dispositivo. Eliminaremos los bonos obtenidos por dichas cuentas. El derecho de interpretación final de esta actividad pertenece a LUCKY JUEGO. COM"
UI.UIActivityFirstChargeUpgrade_1,CLP$≥10K,,,,,,,,,CLP$≥10K,CLP$≥10K
UI.UILoginSign_1,Registro <color=#f9de06>+ CLP$ 3000</size>,,,,,,,,,Registro <color=#f9de06>+ CLP$ 3000</size>,Registro <color=#f9de06>+ CLP$ 3000</size>
UI.UIBonusUnfrozen6,"2. Podrás ganar el monto de la apuesta apostando en los juegos autooperados [In-house] de la plataforma. Una apuesta única superior a CLP$5000 no será considerada apuesta válida.",,,,,,,,,"2. Podrás ganar el monto de la apuesta apostando en los juegos autooperados [In-house] de la plataforma. Una apuesta única superior a CLP$5000 no será considerada apuesta válida.","2. Podrás ganar el monto de la apuesta apostando en los juegos autooperados [In-house] de la plataforma. Una apuesta única superior a CLP$5000 no será considerada apuesta válida."
UI.UIActivityNewbieBonus10,Bonus requires 5x valid wagering to be unfrozen,,,,,,,,,O bônus exige que 5 vezes as apostas válidas sejam descongeladas,El bono requiere 5 apuestas válidas para desbloquearse
UI.UIActivityNewbieBonus1,"<size=26><color=#f9de06>Event Details:</size>
1. After registering as a member, you can get the corresponding bonuses by completing the designated tasks.
2. The bonus is valid for 7 days and requires 5 times of valid wagering to unfreeze
3. Each member and IP can only participate once. If multiple accounts use the same address, it will be considered cheating.
4. The platform prohibits any cheating behavior and reserves the right to cancel any bonus obtained by fraudulent means, and will take necessary measures to recover losses. The final right of interpretation belongs to the platform.<br/>",,,,,,,,,"<size=26><color=#f9de06>Detalhes do evento:</size>
1. Após se registrar como membro, você pode obter os bônus correspondentes completando as tarefas designadas.
2. O bônus é válido por 7 dias e requer 5 vezes de apostas válidas para descongelar
3. Cada membro e IP só pode participar uma vez. Se várias contas usarem o mesmo endereço, isso será considerado trapaça.
4. A plataforma proíbe qualquer comportamento de trapaça e reserva-se o direito de cancelar qualquer bônus obtido por meios fraudulentos, e tomará as medidas necessárias para recuperar as perdas. O direito final de interpretação pertence à plataforma.<br/>","<size=26><color=#f9de06>Detalles del evento:</size>
1. Después de registrarse como miembro, puede obtener las bonificaciones correspondientes al completar las tareas designadas.
2. El bono es válido por 7 días y requiere 5 apuestas válidas para desbloquearse
3. Cada miembro e IP sólo podrá participar una vez. Si varias cuentas utilizan la misma dirección, se considera trampa.
4. La plataforma prohíbe cualquier comportamiento de trampa y se reserva el derecho de cancelar cualquier bono obtenido por medios fraudulentos, y tomará las medidas necesarias para recuperar las pérdidas. El derecho final de interpretación pertenece a la plataforma.<br/>"
