none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI_Login2,"Sign in",,,,,,,,,"Entrar","Iniciar sesión"
UI_Sign_Up2,"Sign up",,,,,,,,,"Registro","Inscribirse"
UI_Promote_PopTypeHint,Please bind your phone number first,कृपया पहले अपना फ़ोन नंबर बाइंड करें,กรุณาผูกหมายเลขโทรศัพท์ของคุณก่อน,Please bind your phone number first,Please bind your phone number first,Vui lòng liên kết số điện thoại của bạn trước,Please bind your phone number first,Please bind your phone number first,Please bind your phone number first,"Por favor, vincule seu número de telefone primeiro.",Por favor vincula tu número de teléfono primero.
UI.System_inputPhone,Please input your phone number,कृपया अपना फोन संख्या इनपुट करें,กรุณากรอกหมายเลขโทรศัพท์,Please input your phone number,Please input your phone number,Vui lòng nhập số điện thoại của bạn,Please input your phone number,Please input your phone number,Please input your phone number,"Por favor, introduz seu número de telefone",Introduzca su número de teléfono
UIRedeemCode_Receive,Receive,प्राप्त करें,รับ,Receive,收到,Nhận được,Menerima,స్వీకరించండి,प्राप्त करा,Receber,Recibir
UIRemittance_Remittance,Remittance period,प्रेषण अवधि,ระยะเวลาการโอนเงิน,Remittance period,匯款期限,Kỳ chuyển tiền,Periode pengiriman uang,చెల్లింపు కాలం,प्रेषण कालावधी,Período de remessa,Periodo de remesa
UIRemittance_Recharge,Recharge within the specified time toenjoy a recharge discount,रिचार्ज छूट का आनंद लेने के लिए निर्दिष्ट समय के भीतर रिचार्ज करें,เติมเงินภายในเวลาที่กำหนดเพื่อรับส่วนลดการเติมเงิน,Recharge within the specified time toenjoy a recharge discount,指定時間內充值享受充值優惠,Nạp tiền trong thời gian quy định để được giảm giá khi nạp tiền,Isi ulang dalam waktu yang ditentukan untuk menikmati diskon isi ulang,రీఛార్జ్ తగ్గింపును ఆస్వాదించడానికి పేర్కొన్న సమయంలో రీఛార్జ్ చేయండి,रिचार्ज डिस्काउंटचा आनंद घेण्यासाठी निर्दिष्ट वेळेत रिचार्ज करा,Recarregue dentro do tempo especificado para aproveitar um desconto de recarga,Recarga dentro del tiempo especificado para disfrutar de un descuento de recarga
UIRemittance_Countdown,Payment countdown,भुगतान की उलटी गिनती,นับถอยหลังการชำระเงิน,Payment countdown,付款倒計時,Đếm ngược thanh toán,Hitung mundur pembayaran,చెల్లింపు కౌంట్‌డౌన్,पेमेंट काउंटडाउन,Contagem regressiva de pagamento,Cuenta regresiva de pago
UIRemittance_information,Payment information,भुगतान जानकारी,ข้อมูลการชำระเงิน,Payment information,支付信息,Thông tin thanh toán,Informasi Pembayaran,చెల్లింపు సమాచారం,देयक माहीती,Informação de pagamento,Información del pago
UIRemittance_Provide,Provide,Provide,Provide,Provide,Provide,Provide,Provide,Provide,Provide,Provide,Provide
UIRemittance_Account,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe,Account number / Clabe
UIRemittance_Beneficiary,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name,Beneficiary name
UIRemittance_Process,Process,प्रक्रिया,กระบวนการ,Process,過程,Quá trình,Proses,ప్రక్రియ,प्रक्रिया,Processo,Proceso
UIRemittance_explain,"1. After starting the order, in your banking app, transfer the money to clabe. Close the deal. \n2. After a successful remittance, the remittanceamount will be added to your platform balance\n3. The minimum amount for a single top-up is 50","1. ऑर्डर शुरू करने के बाद अपने बैंकिंग ऐप में पैसे को क्लैब में ट्रांसफर करें। सौदा कर लो।\n2. सफल प्रेषण के बाद, प्रेषण राशि आपके प्लेटफ़ॉर्म बैलेंस में जोड़ दी जाएगी\n3. एकल टॉप-अप के लिए न्यूनतम राशि 50 है",1. หลังจากเริ่มสั่งซื้อแล้ว ให้โอนเงินไปที่ clabe ในแอปธนาคารของคุณ ปิดข้อตกลง.\n2. หลังจากการโอนเงินสำเร็จ จำนวนเงินที่โอนจะถูกเพิ่มไปยังยอดคงเหลือแพลตฟอร์มของคุณ\n3. จำนวนเงินขั้นต่ำสำหรับการเติมเงินครั้งเดียวคือ 50,"1. After starting the order, in your banking app, transfer the money to clabe. Close the deal.\n2. After a successful remittance, the remittanceamount will be added to your platform balance\n3. The minimum amount for a single top-up is 50",1. 開始訂單後，在您的銀行應用程序中，將錢轉至clabe。關閉交易。\n2. 匯款成功後，匯款金額將添加到您的平台餘額中\n3. 單次充值最低金額為50,"1. Sau khi bắt đầu đặt hàng, trong ứng dụng ngân hàng của bạn, hãy chuyển tiền đến clabe. Chốt giao dịch.\n2. Sau khi chuyển tiền thành công, số tiền chuyển sẽ được thêm vào số dư nền tảng của bạn\n3. Số tiền tối thiểu cho một lần nạp tiền là 50","1. Setelah memulai pemesanan, di aplikasi perbankan Anda, transfer uang ke clabe. Tutup kesepakatannya.\n2. Setelah pengiriman uang berhasil, jumlah pengiriman uang akan ditambahkan ke saldo platform Anda\n3. Jumlah minimum untuk sekali isi ulang adalah 50","1. ఆర్డర్‌ని ప్రారంభించిన తర్వాత, మీ బ్యాంకింగ్ యాప్‌లో, డబ్బును క్లాబ్‌కి బదిలీ చేయండి. ఒప్పందాన్ని మూసివేయండి.\n2. విజయవంతమైన చెల్లింపు తర్వాత, చెల్లింపు మొత్తం మీ ప్లాట్‌ఫారమ్ బ్యాలెన్స్‌కి జోడించబడుతుంది\n3. ఒక్క టాప్-అప్ కోసం కనీస మొత్తం 50","1. ऑर्डर सुरू केल्यानंतर, तुमच्या बँकिंग अॅपमध्ये, पैसे क्लेबमध्ये हस्तांतरित करा. करार बंद करा.\n2. यशस्वी रेमिटन्सनंतर, रेमिटन्सची रक्कम तुमच्या प्लॅटफॉर्म शिल्लकमध्ये जोडली जाईल\n3. एका टॉप-अपसाठी किमान रक्कम 50 आहे","1. Após iniciar o pedido, no seu aplicativo do banco, transfira o dinheiro para o clabe. Feche o negócio.\n2. Após uma remessa bem-sucedida, o valor da remessa será adicionado ao saldo da sua plataforma\n3. O valor mínimo para uma única recarga é 50","1. Después de iniciar el pedido, en tu aplicación bancaria, transfiere el dinero a clabe. Cerrar el trato.\n2. Después de una remesa exitosa, el monto de la remesa se agregará al saldo de su plataforma.\n3. El importe mínimo para una única recarga es 50"
UIRedeemCode_OrderAmount,Order amount:,ऑर्डर करने की राशि:,จำนวนสั่งซื้อ:,Order amount:,訂單金額:,Số lượng đơn đặt hàng:,Jumlah pesanan:,ఆర్డర్ మొత్తం:,ऑर्डर रक्कम:,Valor do pedido:,Total de la orden:
UI_SuccessfullySent,Sent successfully,सफलतापूर्वक भेज दिया,ส่งเรียบร้อยแล้ว,Sent successfully,Sent successfully,Gửi thành công,Berhasil dikirim,Sent successfully,Sent successfully,Enviado com sucesso,Enviado correctamente
UI_AiSupportPromoteService,Agent service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Serviço de agente,Cooperation Service
UI_PromotePopHint,You still have Refer bonus to claim,दावा करने के लिए आपके पास अभी भी रेफर बोनस है,คุณยังมีโบนัสอ้างอิงที่จะรับสิทธิ์,You still have Refer bonus to claim,您仍有推薦獎金可以領取,Bạn vẫn có tiền thưởng giới thiệu để yêu cầu,Anda masih memiliki bonus Referensi untuk diklaim,మీరు ఇప్పటికీ క్లెయిమ్ చేయడానికి సిఫార్సు బోనస్ని కలిగి ఉన్నారు,दावा करण्यासाठी तुमच्याकडे अजूनही रेफर बोनस आहे,Você ainda tem bônus de indicação para reivindicar,Aún tienes bonificación por recomendación para reclamar
UI_Evidence,Evidence,प्रमाण,Evidence,Evidence,Evidence,Chứng cớ,Evidence,Evidence,Evidence,Evidência,Evidence
UI_REWARDS,REWARDS,पुरस्कार,รางวัล,REWARDS,獎勵,PHẦN\nTHƯỞNG,HADIAH,బహుమతులు,बक्षिसे,Bônus,Prima
UI_Rewards,Rewards,पुरस्कार,รางวัล,Rewards,獎勵,Phần\nthưởng,Hadiah,బహుమతులు,बक्षिसे,Bônus,Prima
UI_Go,Go,जाना,ไป,Go,去,Đi,Pergi,వెళ్ళండి,जा,Ir,Ir
UI_Highest_Level,Highest level,उच्चतम स्तर,ระดับสูงสุด,Highest level,最高等級,Cấp độ cao nhất,Level tertinggi,అత్యధిక స్థాయి,सर्वोच्च पातळी,Mais alto nível,Nivel más alto
UI_Cash_StarColor_IFSCCodeNew,<b><color=#495669>Account name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#495669>Nome da conta</color><color=#ff0000>*</color></b>,<b><color=#495669>Nombre de la cuenta</color><color=#ff0000>*</color></b>
UI_Shop_InputTaxIdNew,Enter name,,,,,,,,,Introduza o nome,Ingrese su nombre
UI_Input_PixNew,Enter the number of 11 digits of the CPF,,,,,,,,,Introduza o número de 11 digitos do CPF,Ingrese el número de 11 dígitos del CPF
UI.newOfficial,Official channel,,,,,,,,,Canal oficial,Canal oficial
UI.newGroupofactivities,Group of activities,,,,,,,,,Grupo de atividades,grupo de actividades
UI.UIReceiveRedEnvelope1,GRAB,,,,,,,,,AGARR AR,AGARR AR
UI.UIReceiveRedEnvelope2,Rain of red envelopes,,,,,,,,,Chuva de pacotes vermelhos,Lluvia de sobres rojos
